delivery_id	predicted_delivery_seconds
046433f6f07a2743d6c990f4ef61eaad	3378
0ffb496c3eeb5eacec516a3cbcc9e569	2891
3b04e68c88349a776013fcae3bc5aea6	3127
345bb0c7adc228a776ae0a02a1b20a04	2823
cffcd18445407b8027ed4484ff46726c	3068
9d65036171bc0463ebb48bf125ac5cbf	4097
bebd60f139989879bd86c6047babce83	3067
89bca4b8fbabcbfd0cbf07fb7c6271cc	3058
4061b453014cf028b2213145a460753c	2548
d71ac2be630dbd0d88ef0a9e3a559329	2428
4af2232da5619ef3fd923ff8346ee804	2103
27fb5c0a87e11d6a7ba573109cfe743f	2550
0a5116feb4f6b2be8356b78022adfc9e	2545
b9978bc9d8d3383f7c0287eeeaa66838	3043
ad825b60391a15fc86e44af29ffc1a4a	2722
777e747d8029109c521c793884d3e300	2158
1f633306521571063183b642aa2f42e2	2564
766a5053b52da822ac41d255235219ec	2570
99333984ed3b0b4cb40921967b17e55c	1971
e97b08538d56e55661a82c9e272d52b5	2827
5c2481a9d62cdaab6b540f88bf0579b6	2621
3a0dfaef43fa4a1109abf9bff07f866d	2071
783078cef92c6b9c14fd20b336ec0df8	2802
1a59ef982a9416ece9e8f0a28952e6f2	2284
08e5182f05f89c2b7ac6ca5c11d7ccf4	2778
714f0b286705b19df84d59f2935ea3de	2957
6aa53d2dc8555652382c84ad14492796	3042
08aa98086084f0495473b3845fcbcb39	2738
e0abaf4e24dc96586dbe8d7a97cfbd3c	2605
1d1ef2321f29c71d3d3d915184ba4038	2379
089255e44d448d35944ccaa5804dc639	2433
80d36f8a6921ee5b433298a29263812f	2377
f013be35407d0349feb737f9ced6974c	3076
8ce99ba48e4f7b012fb01b5713a658c1	2373
dad696f69a883942dcf364a9daf1354b	2673
33d3e89f191b561143f731c6da9b899d	3591
be8599cda99e0036d027a095fe81ff61	3665
58cae05031346cdb9d01eaf8ddbd43d3	2843
1eb317b46f7145c59721322ba21be797	3576
d0cef459ffb612550980a0253179b62d	2698
bce85e72483dea8ad3ba43d3f0c7d868	3203
5812fc65d3042530ccdcfcc7e1cf0de8	2939
7004aa39f48c2adbf4ee6ffc9297aac6	2642
088ab44d0e6857ba5812490fd4dfb40b	2223
3b37b9dd2f1e696507f1b26b2317779d	2646
5e965f623a00a71623eaabeba7f4b2f2	2764
99428be98601498757d12bc0757bb1e3	2399
0a002b50f4f8ded2f5c2edb04367ae2f	2939
c88cee50fb8cd4aba0adb7c144923af0	3183
f8d6c8df65a4f6980c169943c18a08c6	3811
3de885c078454aa602541d388a2477eb	2847
e9d7a8ead6a7ad742251463ea667d0ad	2940
ce5ec7a5accdac4ee6dd4151623df664	2002
86139aeb9582c3208873754d92ac9afd	2007
d611bb76bccc6d7146c7b1ff41d0b646	2405
5c45a3bf21ac96f0b551582675465afa	3572
5dd6ffd3cc76f49726420b2acf0856d4	1797
42358d65b1fa4d182ed78f2e374ed863	2014
f3c194fab65e376d8c1da9b97d13e1ed	2276
d45311745189188113fd0c28be432729	1566
004f18132f31f175e2338ce7aa73d762	2449
7285d2a8e5a5e8996c1b0b7bb6ff8478	2118
0011c2dba1070ca8ace4f897d8bdf534	2047
70e43740084b357e32a3418d7f64f313	1720
504571d8c9d4bb4ca2bc1160a62bd339	2477
dbe3cb99da161dc87e3b35c60e29ea50	2189
ef27a94592cecf749031f6da92d7e1a2	2592
5bf830b3453816bffb7e7cc4839ada45	2375
d2dac44ff977f0735d258d396e00bbce	2107
2bc96580382aeee7fd27b44e6471524b	2958
166019b15779600e297ea71b44955672	2582
f7ffc1fc0dcdf303790cf66ddaee6406	2977
853629e81b8c1de9e6e0eb6262640757	2932
4250d8c7b7472efb31c4b2de75b4cd6d	2781
5a25ef55cc6d0fcb34c7c8a07010f0d6	1990
59b19600db2365bddc09e0b2af19a2c8	2323
e8e9d7c9f06827723b20f323906d01ef	2905
47fd4a6a01498f6c445a85ce11a001fc	2890
3b26bb7dc355e41f5d076c154d682a9c	2165
82c35b1b81dcb1a70e1cf62b90c26a19	2743
17cd0c1c95359c41df970f90093f7932	3193
ba70ef6ed683e95d2e5130b92931d679	3253
24b1dc499984d91521c9d72c69b4eb5a	2071
a888eff8614984efab6cd43353354ae7	3059
b6c85166277c80af60afb78f76305de4	2576
2e6d03ddd197841251d94b385d30a4bd	2064
87900fe8e3de9166a9729339a281d765	2105
957e14a31c397806956503156c85038b	3688
2d9f0f81d8968cd750a74f9d54ef82ba	3640
83426c67b60565842bf461ffec616c0f	4043
c356d5fdc01066d45ce7bc77dacc20e5	4214
7ddb0fc8cec345dcc782cf4aedaa5fc6	3678
bcb2fdff46fa1ac929d94e3453c95ee9	3019
262931a1aeba5a63c9b1e61ccbee4476	3238
fa4868741525e49b896dc0bc27e00faa	2915
b72f974327deedb8adc73d51a9917006	2327
b474b4a364d1cec424a225f2a5285874	2652
a3954f680f1a57c942088907ddbc1b49	2780
9e917f8cb10dd67b8309d5229414f77a	3406
05b724cc9dbfdb35dd96c990f4cfab1e	3168
39df2c5badc642d7942132725441bcf1	2593
338cfef91fa9f64d9a8c7965b4d16ee4	3399
873b308d62dffb9c06a593c7b747571f	3123
30aa30afe8706b3ceeeea06637e6ce6a	3361
b9ae9844828f4c0cb37b1e891695d276	2501
e2869a0a8ca1f47c8cefc458214bde2d	3859
ac51e94439185def483bb8c4ed4eab6a	3028
68d273d85d75db7095cf63f8f4dd0a90	2805
9482c9095ad9286f6818401160ed1637	2317
771288fb865c3edf0f377b975de6ebfb	2582
de214761e6e105b5cb1b141de1a580d8	2926
a26d510e2f3bb674cd8fa44fe54e1f55	3401
aa01840b50b257a536fda956d022306e	2869
c52ffc5b7e04bcd9c554b9c3f5abe346	2214
af6b74965dd349241e8a36d93dc819f4	2908
6b132aa63b2067b213dc73efa01599c1	2324
d544c735a7d15ea022e35fa13dab17d6	2833
d56ad07c76ad4be48e5b11763243116f	2741
106e44fff54ac2187648437854e6ce9e	2298
2a3c99da226066cd5e8453245ae66c2d	2556
e7d59c41014caf2239e653bddd8ba6cb	2626
17fa5fdc9df99dbb0ad789572719c0f2	1988
fffdd10d5944c8a31062486f2fc22231	3892
97896395207ac2ed8eed087bd1933526	3873
c841883428bc0f3ed9c0105d33c4a1f6	3086
96173c5d4430bb145427af2cca6e3151	3218
4ec1c42a1d4857574d0ba701c3160fae	2049
4e25e8caf3966438bb973679c5999f4d	2559
836b20750d339e8890428c4a3f174b10	2471
db6aa702557344552a18367d4ba7f5b8	1966
715d3541d399e9687867cd30dc57065c	2746
5d406ba42184c6ed54cefe40a5754b6d	2587
fc406c35f0d8e7462d8ffdcfd4cf7361	2745
d896733d0334d28e657a2ca785606e7f	2769
e95276f80455c7af4a38ae9742ee94df	2351
d1a4b2d85e3ac3e2532e5ac864d2bd45	2137
